#,Node,HViC Variable Name,Clean Variable Name,Variable Label,Description,Data Type,Enums
15,anthropometry,weight_avg,weight_kg,Weight (kg),"Average of three weight measurements, in kilograms.",decimal,
16,anthropometry,bmi_v2,bmi,BMI,Body mass index derived from average weight (kg) divided by average height (m) squared.,decimal,
17,medical_history,hi_your_cond,diagnosed_conditions,Diagnosed Conditions,Broad condition categories the participant has ever been diagnosed with by a doctor or health professional.,enum[],autoimmune | anaemia | cancer | gi_liver | endocrine_metabolic | eye_visual | fractures_bone_joint | heart_cardiovascular | kidney_urinary | lung_respiratory | mental_health | neurodevelopmental | neurological | reproductive | other | none | unknown | prefer_not_to_answer
18,medical_history,health_hayfever,hay_fever,Hay Fever / Allergies,Whether the participant reports having hay fever or allergic rhinitis.,enum,no | yes | do_not_know
19,medical_history,health_gluten,gluten_status,Gluten Intolerance / Coeliac,Whether the participant has been identified as gluten intolerant or diagnosed with coeliac disease.,enum,no | gluten_intolerant | coeliac | unsure
20,medical_history,health_foodallergy,food_allergies,Food Allergies,Self-reported food allergies. Multiple selections allowed.,enum[],none | peanuts | tree_nuts | seafood | dairy | wheat | eggs | soy | other
21,medical_history,earlylife_birth,mode_of_birth,Mode of Birth,How the participant was delivered at birth.,enum,vaginal | caesarean | unknown
22,medical_history,earlylife_feeding,infant_feeding,Infant Feeding Method,Primary feeding method during infancy.,enum,breastmilk | formula | mixture | unknown
23,lifestyle,lifestyle_smoking,smoking_frequency,Tobacco / Smoking Frequency,"Current frequency of use of tobacco or smoking implements (cigarettes, cigars, pipes, hookah, etc.).",enum,never | less_than_monthly | several_times_monthly | weekly | several_times_weekly | daily
24,lifestyle,lifestyle_vape,vaping_frequency,Vaping Frequency,Current frequency of e-cigarette or vape use.,enum,never | seldom | several_times_monthly | weekly | several_times_weekly | daily
25,lifestyle,audit_1,alcohol_frequency,Alcohol Frequency,How often the participant consumes a drink containing alcohol (AUDIT question 1).,enum,never | monthly_or_less | two_to_four_monthly | two_to_three_weekly | four_plus_weekly | prefer_not_to_answer
26,lifestyle,lifestyle_outside,time_outdoors,Daily Time Outdoors,"Usual time spent outside per day in activities such as gardening, parks, hiking, cycling, swimming.",enum,lt_1hr_week | 1_to_3hrs_week | 3_to_6hrs_week | 1_to_2hrs_day | 2_to_4hrs_day | gt_4hrs_day
27,lifestyle,lifestyle_screen,screen_time_hours,Leisure Screen Time (hrs),"Daily hours spent in front of a screen for leisure activities (TV, computer, tablet, mobile), excluding work.",decimal,0–20 (slider)
28,lifestyle,sd_workshift,shift_work,Shift Work,Frequency of shift work in current or most recent employment.,enum,never_rarely | sometimes | usually | always
29,lifestyle,lifestyle_greenspace,greenspace_proximity,Walk Time to Green Space,Walking time from home to the nearest green or natural space.,enum,lt_5min | 5_to_9min | 10_to_19min | 20_to_30min | gt_30min | no_green_space
30,lifestyle,lifestyle_friends,social_contact_frequency,Social Contact Frequency,"How often the participant visits friends or family, or has them visit.",enum,daily | 2_to_4_weekly | weekly | monthly | every_few_months | never | no_friends_family_outside_household
31,lifestyle,diet_classify,diet_type,Diet Type,General classification of the participant's usual dietary pattern.,enum,omnivore | no_red_meat | flexitarian | vegetarian | pescatarian | vegan | other | prefer_not_to_say
32,lifestyle,diet_und_diet,diet_healthiness,Self-Rated Diet Healthiness,Self-assessed healthiness of diet based on the participant's own understanding of healthy eating.,enum,almost_always_healthy | more_healthy | half_the_time | more_unhealthy | almost_always_unhealthy | prefer_not_to_answer
33,wellbeing,whoqol_1,quality_of_life,Quality of Life,Self-rated overall quality of life (WHOQOL-BREF question 1).,enum,very_poor | poor | neither | good | very_good
34,wellbeing,sleep_satisfied,sleep_satisfaction,Sleep Satisfaction,Satisfaction with sleep quality (SATED sleep health questionnaire).,enum,rarely_never | sometimes | usually_always
35,wellbeing,tils_isolated,social_isolation,Feeling Isolated,How often the participant feels isolated from others (Three-Item Loneliness Scale).,enum,hardly_ever | some_of_the_time | often | prefer_not_to_answer
